Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 12:06:00.0,2621.75,2628.75,2616.75,2628.5,21311,9198,9462,11849
2/8/18, 12:09:00.0,2628.75,2632,2625.5,2627.5,29492,13377,13994,15498
2/8/18, 12:12:00.0,2627.5,2630.5,2623.75,2626.25,19003,9275,10052,8951
2/8/18, 12:15:00.0,2626,2636.75,2625,2636,23292,11500,9658,13634
2/8/18, 12:18:00.0,2636,2637.75,2629.75,2637,17938,9133,8495,9443
2/8/18, 12:21:00.0,2637.25,2638.5,2630.5,2631,19030,9270,9338,9692
2/8/18, 12:24:00.0,2631,2635.25,2630,2630.5,12899,6847,6377,6522
2/8/18, 12:27:00.0,2630.25,2632.25,2624,2624.25,16287,8981,8993,7294
2/8/18, 12:30:00.0,2624.25,2629,2622.5,2626,14175,7832,7027,7148
2/8/18, 12:33:00.0,2626,2634,2623.5,2634,13372,8343,6056,7316
2/8/18, 12:36:00.0,2633.75,2636.75,2630,2636.75,12574,7233,6631,5943
2/8/18, 12:39:00.0,2636.5,2642.5,2634.75,2638.5,20020,10923,9663,10357
2/8/18, 12:42:00.0,2638.75,2644,2637,2643.5,14675,8314,6525,8150
2/8/18, 12:45:00.0,2643.75,2649,2642,2642.75,26611,12597,12717,13894
2/8/18, 12:48:00.0,2642.75,2644.25,2639.75,2640.75,15136,8021,8039,7097
2/8/18, 12:51:00.0,2640.75,2647.25,2638.5,2647,13130,6885,5763,7367
2/8/18, 12:54:00.0,2647,2648,2638,2639.5,15772,8144,8943,6829
2/8/18, 12:57:00.0,2639.5,2645.75,2638,2643.25,12706,6451,5909,6797
2/8/18, 13:00:00.0,2643.25,2644,2635,2636.75,16603,8202,8772,7831
2/8/18, 13:03:00.0,2637,2638.75,2631.75,2635.5,14144,7284,7264,6880
2/8/18, 13:06:00.0,2635.25,2638.75,2632.5,2635.5,8386,4949,4244,4142
2/8/18, 13:09:00.0,2635.75,2641.75,2635.25,2637.5,9436,5878,4551,4885
2/8/18, 13:12:00.0,2637.25,2640.75,2636,2638.5,8677,4961,3991,4686
2/8/18, 13:15:00.0,2638.75,2646.75,2636,2645.5,15264,7900,6159,9105
2/8/18, 13:18:00.0,2645.5,2645.75,2641.5,2643.25,8586,4907,4390,4196
2/8/18, 13:21:00.0,2643.25,2643.75,2636.25,2636.75,9791,5793,5261,4530
2/8/18, 13:24:00.0,2637,2639.5,2633.75,2636,10302,5484,5345,4957
2/8/18, 13:27:00.0,2636,2636,2629.5,2632,14746,7687,7131,7615
2/8/18, 13:30:00.0,2631.75,2632,2625.25,2629.25,19397,9860,9749,9648
2/8/18, 13:33:00.0,2629,2630.75,2625.75,2626.5,10332,5185,4835,5497
2/8/18, 13:36:00.0,2626.75,2629,2623,2628.25,14170,7709,6497,7673
2/8/18, 13:39:00.0,2628.25,2632.75,2626.25,2627.5,14435,7957,6941,7494
2/8/18, 13:42:00.0,2627.5,2629.5,2625.75,2626,9165,4865,4547,4618
2/8/18, 13:45:00.0,2626,2633.5,2624.5,2630,13600,7087,6438,7162
2/8/18, 13:48:00.0,2630,2630.75,2627.5,2628,6667,3274,3223,3444
2/8/18, 13:51:00.0,2628.25,2628.5,2622,2623.75,15324,7508,8144,7180
2/8/18, 13:54:00.0,2623.5,2625.25,2617.75,2623.25,19188,9207,9422,9766
2/8/18, 13:57:00.0,2623.25,2625.25,2621.25,2623.5,10114,5141,4324,5790
2/8/18, 14:00:00.0,2623.75,2630,2620,2628.25,18474,9538,8278,10196
2/8/18, 14:03:00.0,2628.25,2632.75,2625.75,2628.5,17137,8502,8537,8600
2/8/18, 14:06:00.0,2628.5,2628.5,2621.75,2622.75,14186,7879,7811,6375
2/8/18, 14:09:00.0,2622.5,2625.25,2617.75,2622,15644,8656,7799,7845
2/8/18, 14:12:00.0,2621.75,2621.75,2614,2618.25,19533,9940,10860,8673
2/8/18, 14:15:00.0,2618,2622,2617,2618,14709,7793,7272,7437
2/8/18, 14:18:00.0,2618.25,2620.75,2612.25,2614,15155,8076,8424,6731
2/8/18, 14:21:00.0,2614,2623.5,2614,2621.75,21663,11698,9624,12039
2/8/18, 14:24:00.0,2621.75,2627,2618.75,2626.5,15400,8177,7177,8223
2/8/18, 14:27:00.0,2626.5,2629.25,2620,2620,16958,8342,8868,8090
2/8/18, 14:30:00.0,2620,2624.5,2615.75,2616.75,19189,9284,9078,10111
2/8/18, 14:33:00.0,2616.75,2619.75,2610.25,2611.75,21911,10984,12154,9757
2/8/18, 14:36:00.0,2611.5,2613.5,2605.5,2607.25,26546,12343,14956,11590
2/8/18, 14:39:00.0,2607.25,2609,2602.25,2604.75,28834,12019,15425,13409
2/8/18, 14:42:00.0,2604.5,2613.25,2600,2612.5,32148,14946,15021,17127
2/8/18, 14:45:00.0,2612.5,2612.75,2597,2598.25,54478,24294,29180,25298
2/8/18, 14:48:00.0,2598.25,2604,2597,2599.5,38912,17502,20660,18252
2/8/18, 14:51:00.0,2599.5,2599.75,2592,2592.25,35188,15321,20020,15168
2/8/18, 14:54:00.0,2592.25,2599,2591.75,2593.5,42158,16566,20058,22100
2/8/18, 14:57:00.0,2593.5,2593.75,2577,2578.25,147184,35295,76864,70320
2/8/18, 15:00:00.0,2578.25,2598,2577.75,2591.75,87582,25892,41582,46000
2/8/18, 15:03:00.0,2592,2598.25,2586.75,2590,27862,11506,14187,13675
2/8/18, 15:06:00.0,2589.75,2594.75,2589.5,2590.75,15987,7627,8200,7787
2/8/18, 15:09:00.0,2590.75,2593.25,2587.25,2592,19284,7264,9175,10109
2/8/18, 15:12:00.0,2592,2598,2590,2590,26337,8163,13232,13105
2/8/18, 15:30:00.0,2595,2596.75,2593.25,2595,8830,1824,3181,5649
2/8/18, 15:33:00.0,2595,2596.25,2594,2595.25,2671,889,1422,1249
2/8/18, 15:36:00.0,2595.5,2597,2595,2597,1629,557,847,782
2/8/18, 15:39:00.0,2597,2598.25,2596.25,2598.25,2326,742,1064,1262
2/8/18, 15:42:00.0,2598,2600,2597.75,2599.5,1749,625,594,1155
2/8/18, 15:45:00.0,2599.75,2601.75,2599.5,2601,2878,996,1146,1732
2/8/18, 15:48:00.0,2601.25,2601.5,2596.75,2598.5,3935,1182,2543,1392
2/8/18, 15:51:00.0,2598.5,2599.5,2596.75,2599.25,1580,492,845,735
2/8/18, 15:54:00.0,2599.5,2599.5,2596.25,2596.25,1439,443,730,709
2/8/18, 15:57:00.0,2596,2597.75,2592.5,2597.25,3021,1222,1315,1706
2/8/18, 17:00:00.0,2593.75,2598.5,2593.25,2597.75,3081,1363,1297,1784
2/8/18, 17:03:00.0,2598,2599.25,2594.75,2595,1653,757,795,858
2/8/18, 17:06:00.0,2595,2595.25,2586.5,2586.75,3646,1719,1831,1815
